Product name,SKU,URL,Image url,Price,Discount,Review count,Description,Tiki Now,Under Price,Benefit,Gift
Laptop Dell Vostro 5490 V4I5106W (Core 5-10210U/ 8GB DDR4 2666MHz/ 256GB M.2 PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hiệu,3358503660793,https://tiki.vn/laptop-dell-vostro-5490-v4i5106w-core-5-10210u-8gb-ddr4-2666mhz-256gb-m-2-pcie-nvme-14-fhd-win10-hang-chinh-hieu-p45183900.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,19.500.000 ₫,2%,0,"Cấu hình mạnh mẽ hướng đến nhu cầu đồ họa kỹ thuật
Laptop Dell Vostro 5490 V4I5106W được trang bị bộ vi xử lý Intel Core i5 Comet Lake thế hệ thứ 10 mới ra mắt và có hiệu năng cao nhất hiện nay kết...",No,Yes,No,No
Laptop MSI GF75 Thin 10SCSR-208VN (Core i7-10750H/ 8GB DDR4 2666MHz/ 512GB NVMe PCIe SSD/ GTX1650 Ti 4GB GDDR6/ 17.3 FHD IPS/ Win10) - Hàng Chính Hãng,2553069202031,https://tiki.vn/laptop-msi-gf75-thin-10scsr-208vn-core-i7-10750h-8gb-ddr4-2666mhz-512gb-nvme-pcie-ssd-gtx1650-ti-4gb-gddr6-17-3-fhd-ips-win10-hang-chinh-hang-p56693998.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/97/28/c7/7c3127dcfa60f2e7374dc9bc14510b53.jpg,25.990.000 ₫,9%,0,"Thiết kế
MSI GF75 Thin 10SCSR 208VN là chiếc laptop đầu tiên mang thiên hướng thiết kế mới, thiết kế công thái học. Với mặt trên và mặt bàn phím bằng kim loại, kết hợp với thiết kế tương lai hoàn...",No,No,No,No
"LapTop Lenovo ThinkBook 14 IML (20SL00MEVN) | Intel Core i7 _ 1065G7 | 8GB | 512GB SSD PCIe | VGA INTEL | Win 10 | 14"" Full HD IPS | Hàng Chính Hãng",4462855996123,https://tiki.vn/laptop-lenovo-thinkbook-14-iml-20sl00mevn-intel-core-i7-_-1065g7-8gb-512gb-ssd-pcie-vga-intel-win-10-14-full-hd-ips-hang-chinh-hang-p75760165.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,19.800.000 ₫,17%,0,"Đặc Điểm Nổi BậtLaptop Lenovo ThinkBook 14 AIIL i7 (20SL00MEVN) là dòng laptop học tập - văn phòng với thiết kế sang trọng, hiệu năng mạnh mẽ, độ bền cao, khả năng bảo mật tối ưu sẽ giúp bạn đạt được...",No,No,No,No
Máy tính laptop Surface Book 2 15 Inch Core I7 Ram 16Gb 1Tb (New) - Hàng chính hãng ,5874444947239,https://tiki.vn/may-tinh-laptop-surface-book-2-15-inch-core-i7-ram-16gb-1tb-new-hang-chinh-hang-p48393012.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,69.900.000 ₫,18%,0,"



Màn hình


15 inch




Độ phân giải


3240 x 2160, (260 PPI)




Hệ điều hành


Windows 10 Pro




CPU


Intel Core i5




Bộ nhớ


SSD 256GB




RAM


8GB




Đồ họa


GPU tích hợp đồ họa Intel...",No,No,No,No
Laptop Acer Aspire E5-476-50SZ (NX.H33SV.001). Intel Core  I5 8250U - Hàng Nhập Khẩu,6646915008348,https://tiki.vn/laptop-acer-aspire-e5-476-50sz-nx-h33sv-001-intel-core-i5-8250u-hang-nhap-khau-p73552890.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/a3/71/83/78f867dab879b5e737497d4ba68b36c4.jpg,10.790.000 ₫,10%,0,Acer Aspire E5 476 50SZ i5 8250U với cấu hình cao bộ vi xử lý i5 8250U thế hệ thứ 8 kết hợp công nghệ Intel Optane mới nhất từ Intel được phân phối độc quyền tại Thế giới di động. Với mức giá thành...,No,No,No,No
Laptop Acer Swift 3X SF314-510G-5742 NX.A10SV.003 (Core i5-1135G7/ 16GB LPDDR4X 4266MHz/ 1TB SSD M.2 PCIE Gen3x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,2866991237584,https://tiki.vn/laptop-acer-swift-3x-sf314-510g-5742-nx-a10sv-003-core-i5-1135g7-16gb-lpddr4x-4266mhz-1tb-ssd-m-2-pcie-gen3x4-14-fhd-ips-win10-hang-chinh-hang-p73833676.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/02/4e/79/7377650a328edf97b61fe6fe9448cfd9.jpg,25.029.000 ₫,7%,1,"Thiết kế nguyên khối sang trọng
Laptop Acer Swift 3X SF314-510G-5742 NX.A10SV.003 được thiết kế màn hình tràn viền cạnh siêu mỏng chỉ 6.3mm. Vỏ máy làm từ hợp kim nguyên khối cứng cáp, sang trọng....",Yes,No,Yes,No
Laptop Acer Swift 3 SF314-42-R0TR NX.HSESV.002 (AMD R5-4500U/ 16GB (8GBx2) LPDDR4 4266MHz/ 1TB SSD M.2 PCIE Gen3x4/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,9300996512598,https://tiki.vn/laptop-acer-swift-3-sf314-42-r0tr-nx-hsesv-002-amd-r5-4500u-16gb-8gbx2-lpddr4-4266mhz-1tb-ssd-m-2-pcie-gen3x4-14-fhd-ips-win10-hang-chinh-hang-p81503279.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/92/92/62/2a664d9d04d36a1a2c2609b4e4a7b27e.jpg,20.379.000 ₫,7%,0,"Vỏ nhôm nguyên khối sang trọng
Laptop Acer Swift 3 SF314-42-R0TR NX.HSESV.002 là dòng laptop mỏng nhẹ chỉ từ 1.2kg với chất liệu hợp kim nhôm magie và chỉ mỏng 16.90mm. Viền màn hình mỏng chỉ 4.37mm...",Yes,No,Yes,No
"Laptop HP ProBook 450 G6 6FG83PA Core i7-8565U/MX130/Dos (15.6"" FHD) - Hàng Chính Hãng",1530936968352,https://tiki.vn/laptop-hp-probook-450-g6-6fg83pa-core-i7-8565u-mx130-dos-15-6-fhd-hang-chinh-hang-p13947741.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/4f/17/15/d38e6a7c313c247cbd3f679d4cbac3ec.jpg,19.499.000 ₫,22%,0,"Tổng quan thiết kế
Laptop HP ProBook 450 G6 6FG83PA Core i7-8565U/MX130/Dos (15.6"" FHD) - Hàng Chính Hãng với thiết kế cứng cáp, bảo mật dễ và nhiều tính năng được nâng cấp, thừa hưởng nguyên vẹn...",Yes,Yes,Yes,No
Laptop Acer Aspire 5 A514-53-346U NX.HUSSV.005 (Core i3-1005G1/ 4GB RAM/ 512GB SSD/ 14 FHD/ Win 10) - Hàng Chính Hãng,9992948714327,https://tiki.vn/laptop-acer-aspire-5-a514-53-346u-nx-hussv-005-core-i3-1005g1-4gb-ram-512gb-ssd-14-fhd-win-10-hang-chinh-hang-p53827009.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/b3/ad/9e/c82586eeefbafc478b47ef78dc97cb96.jpg,13.100.000 ₫,10%,0,"Thiết kế sang trọng
Laptop Acer Aspire 5 A514-53-346U NX.HUSSV.005 (Core i3-1005G1/ 4GB RAM/ 512GB SSD/ 14 FHD/ Win 10) - Hàng Chính Hãng có lớp vỏ được chế tạo từ chất liệu nhôm cao cấp với các họa...",No,Yes,No,No
Laptop Acer Aspire A315-51-325E NX.GNPSV.037 . Intel Core I3 7020U-Hàng Nhập Khẩu,4559074592349,https://tiki.vn/laptop-acer-aspire-a315-51-325e-nx-gnpsv-037-intel-core-i3-7020u-hang-nhap-khau-p75824033.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/c2/c3/0d/c68338b74b29f199a612914071342d87.jpg,7.590.000 ₫,16%,1,"Hệ điều hành : Free Dos
Bộ vi xử lý : Intel Core i3-7020U (2.30GHz, 2Cores, 4Threads, 3MB cache, FSB 4GT/s)
Màn hình ; 15.6inch HDLed (1366 x 768)
Đồ họa ; Intel HD Graphics 620
Bộ nhớ Ram ; 4 GB,...",No,Yes,No,No
